Sexo;Edad;Periodo;Total
Total;37 años;2037;672.291,25882
Total;37 años;2036;656.108,354785
Total;37 años;2035;658.433,904673
Total;37 años;2034;648.417,5343
Total;37 años;2033;644.129,871628
Total;37 años;2032;642.889,416415
Total;37 años;2031;648.085,407623
Total;37 años;2030;651.835,524046
Total;37 años;2029;637.980,888216
Total;37 años;2028;631.834,950991
Total;37 años;2027;626.174,066333
Total;37 años;2026;620.446,717118
Total;37 años;2025;611.434,089794
Total;37 años;2024;608.486
Total;38 años;2074;668.849,658144
Total;38 años;2073;663.761,719196
Total;38 años;2072;658.737,462956
Total;38 años;2071;653.799,838828
Total;38 años;2070;648.937,755932
Total;38 años;2069;644.117,46683
Total;38 años;2068;639.270,202152
Total;38 años;2067;634.333,890264
Total;38 años;2066;629.278,17803
Total;38 años;2065;624.132,893349
Total;38 años;2064;619.045,652721
Total;38 años;2063;614.321,056219
Total;38 años;2062;612.980,801564
Total;38 años;2061;615.573,177855
Total;38 años;2060;623.584,832272
Total;38 años;2059;624.852,14164
Total;38 años;2058;638.785,162358
Total;38 años;2057;650.422,572901
Total;38 años;2056;668.676,097391
Total;38 años;2055;684.203,718701
Total;38 años;2054;691.797,110847
Total;38 años;2053;697.132,046724
Total;38 años;2052;692.459,12591
Total;38 años;2051;715.080,150987
Total;38 años;2050;725.707,245453
Total;38 años;2049;735.196,588549
Total;38 años;2048;742.353,488182
Total;38 años;2047;762.977,468316
Total;38 años;2046;744.659,91854
Total;38 años;2045;740.400,738308
Total;38 años;2044;731.782,516954
Total;38 años;2043;728.540,410989
Total;38 años;2042;719.258,060307
Total;38 años;2041;700.911,326208
Total;38 años;2040;694.377,74822
Total;38 años;2039;691.977,740435
Total;38 años;2038;677.033,754126
Total;38 años;2037;660.945,714828
Total;38 años;2036;663.348,365559
Total;38 años;2035;653.603,265335
Total;38 años;2034;649.680,426387
Total;38 años;2033;649.001,507253
Total;38 años;2032;654.992,187688
Total;38 años;2031;659.719,909202
Total;38 años;2030;647.163,890028
Total;38 años;2029;642.370,227326
Total;38 años;2028;638.170,543963
Total;38 años;2027;633.796,517093
Total;38 años;2026;625.809,091043
Total;38 años;2025;623.059,147236
Total;38 años;2024;626.155
Total;39 años;2074;670.735,155391
Total;39 años;2073;665.699,37544
Total;39 años;2072;660.748,726074
Total;39 años;2071;655.870,938767
Total;39 años;2070;651.031,064001
Total;39 años;2069;646.159,579908
Total;39 años;2068;641.194,203139
Total;39 años;2067;636.104,608668
Total;39 años;2066;630.920,922312
Total;39 años;2065;625.791,067379
Total;39 años;2064;621.019,78831
Total;39 años;2063;619.636,043927
Total;39 años;2062;622.190,640693
Total;39 años;2061;630.062,319062
Total;39 años;2060;631.285,361495
Total;39 años;2059;645.125,160763
Total;39 años;2058;656.657,73716
Total;39 años;2057;674.781,339827
Total;39 años;2056;690.194,842907
Total;39 años;2055;697.714,389504
Total;39 años;2054;702.990,903939
Total;39 años;2053;698.312,815909
Total;39 años;2052;720.822,318896
Total;39 años;2051;731.379,162576
Total;39 años;2050;740.782,449644
Total;39 años;2049;747.861,84434
Total;39 años;2048;768.356,907863
Total;39 años;2047;750.032,220652
Total;39 años;2046;745.681,441373
Total;39 años;2045;736.941,599707
Total;39 años;2044;733.544,24782
Total;39 años;2043;724.168,610135
Total;39 años;2042;705.758,295702
Total;39 años;2041;699.097,746022
Total;39 años;2040;696.539,355451
Total;39 años;2039;681.562,732304
Total;39 años;2038;665.520,421957
Total;39 años;2037;667.931,14035
Total;39 años;2036;658.351,254272
Total;39 años;2035;654.654,598217
Total;39 años;2034;654.358,579586
Total;39 años;2033;660.926,535271
Total;39 años;2032;666.392,9615
Total;39 años;2031;654.882,37445
Total;39 años;2030;651.231,223291
Total;39 años;2029;648.366,111283
Total;39 años;2028;645.389,380164
Total;39 años;2027;638.751,928395
Total;39 años;2026;636.972,495316
Total;39 años;2025;640.134,038737
Total;39 años;2024;647.603
Total;40 años;2074;672.346,731599
Total;40 años;2073;667.382,91771
Total;40 años;2072;662.489,504265
Total;40 años;2071;657.630,90717
Total;40 años;2070;652.736,792277
Total;40 años;2069;647.744,25301
Total;40 años;2068;642.622,785742
Total;40 años;2067;637.402,555572
Total;40 años;2066;632.231,725914
Total;40 años;2065;627.415,367076
Total;40 años;2064;625.989,995412
Total;40 años;2063;628.507,537209
Total;40 años;2062;636.245,114326
Total;40 años;2061;637.425,746052
Total;40 años;2060;651.176,095812
Total;40 años;2059;662.608,73673
Total;40 años;2058;680.608,201508
Total;40 años;2057;695.912,882063
Total;40 años;2056;703.362,166054
Total;40 años;2055;708.582,948646
Total;40 años;2054;703.900,309409
Total;40 años;2053;726.301,997809
Total;40 años;2052;736.790,998757
Total;40 años;2051;746.111,54335
Total;40 años;2050;753.116,656896
Total;40 años;2049;773.488,384708
Total;40 años;2048;755.159,230113
Total;40 años;2047;750.723,963676
Total;40 años;2046;741.872,585104
Total;40 años;2045;738.331,957242
Total;40 años;2044;728.872,393024
Total;40 años;2043;710.405,330514
Total;40 años;2042;703.624,461154
Total;40 años;2041;700.910,5751
Total;40 años;2040;685.890,082995
Total;40 años;2039;669.865,369692
Total;40 años;2038;672.241,289954
Total;40 años;2037;662.754,203763
Total;40 años;2036;659.183,425075
Total;40 años;2035;659.133,276307
Total;40 años;2034;666.101,635728
Total;40 años;2033;672.099,093752
Total;40 años;2032;661.394,098501
Total;40 años;2031;658.652,045936
Total;40 años;2030;656.915,908066
Total;40 años;2029;655.216,602826
Total;40 años;2028;649.968,728902
Total;40 años;2027;649.475,981133
Total;40 años;2026;653.468,423028
Total;40 años;2025;660.925,393871
Total;40 años;2024;667.060
Total;41 años;2074;673.680,820682
Total;41 años;2073;668.772,528103
Total;41 años;2072;663.895,616346
Total;41 años;2071;658.979,830471
Total;41 años;2070;653.961,768583
Total;41 años;2069;648.810,433842
Total;41 años;2068;643.555,848087
Total;41 años;2067;638.346,147407
Total;41 años;2066;633.486,619504
Total;41 años;2065;632.021,036476
Total;41 años;2064;634.503,024255
Total;41 años;2063;642.111,544146
Total;41 años;2062;643.251,122216
Total;41 años;2061;656.915,05304
Total;41 años;2060;668.251,713458
Total;41 años;2059;686.131,919458
Total;41 años;2058;701.332,262926
Total;41 años;2057;708.714,462792
Total;41 años;2056;713.882,039647
Total;41 años;2055;709.195,573597
Total;41 años;2054;731.492,887627
Total;41 años;2053;741.916,116821
Total;41 años;2052;751.156,742866
Total;41 años;2051;758.090,067109
Total;41 años;2050;778.342,618088
Total;41 años;2049;760.010,756666
Total;41 años;2048;755.496,401428
Total;41 años;2047;746.541,631927
Total;41 años;2046;742.867,782289
Total;41 años;2045;733.332,452122
Total;41 años;2044;714.816,376184
Total;41 años;2043;707.923,786755
Total;41 años;2042;705.061,630535
Total;41 años;2041;689.994,946699
Total;41 años;2040;673.973,876871
Total;41 años;2039;676.290,821727
Total;41 años;2038;666.850,046983
Total;41 años;2037;663.336,209943
Total;41 años;2036;663.431,587312
Total;41 años;2035;670.663,206003
Total;41 años;2034;677.021,403143
Total;41 años;2033;666.912,387395
Total;41 años;2032;664.854,998198
Total;41 años;2031;664.017,432068
Total;41 años;2030;663.396,121496
Total;41 años;2029;659.416,515888
Total;41 años;2028;660.247,811464
Total;41 años;2027;665.387,393084
Total;41 años;2026;673.581,689096
Total;41 años;2025;679.676,309646
Total;41 años;2024;701.801
Total;42 años;2074;674.695,791521
Total;42 años;2073;669.802,373498
Total;42 años;2072;664.865,758785
Total;42 años;2071;659.823,30657
Total;42 años;2070;654.643,865997
Total;42 años;2069;649.357,109894
Total;42 años;2068;644.110,994834
Total;42 años;2067;639.210,745459
Total;42 años;2066;637.706,857008
Total;42 años;2065;640.154,567326
Total;42 años;2064;647.639,776479
Total;42 años;2063;648.739,697563
Total;42 años;2062;662.319,996575
Total;42 años;2061;673.564,321653
Total;42 años;2060;691.329,682563
Total;42 años;2059;706.429,899392
Total;42 años;2058;713.748,067875
Total;42 años;2057;718.865,101184
Total;42 años;2056;714.175,975421
Total;42 años;2055;736.372,588303
Total;42 años;2054;746.732,718588
Total;42 años;2053;755.896,510914
Total;42 años;2052;762.760,828356
Total;42 años;2051;782.898,281797
Total;42 años;2050;764.565,3523
Total;42 años;2049;759.976,595452
Total;42 años;2048;750.925,463442
Total;42 años;2047;747.127,200849
Total;42 años;2046;737.523,432611
Total;42 años;2045;718.965,566694
Total;42 años;2044;711.971,106979
Total;42 años;2043;708.970,45522
Total;42 años;2042;693.860,878531
Total;42 años;2041;677.839,185459
Total;42 años;2040;680.087,007564
Total;42 años;2039;670.666,128917
Total;42 años;2038;667.166,221829
Total;42 años;2037;667.338,975245
Total;42 años;2036;674.734,409985
Total;42 años;2035;681.322,949243
Total;42 años;2034;671.639,314458
Total;42 años;2033;670.071,057945
Total;42 años;2032;669.912,02242
Total;42 años;2031;670.146,045698
Total;42 años;2030;667.237,565593
Total;42 años;2029;669.275,042886
Total;42 años;2028;675.606,127379
Total;42 años;2027;684.849,744674
Total;42 años;2026;691.635,103296
Total;42 años;2025;713.467,747505
Total;42 años;2024;728.502
Total;43 años;2074;675.326,814058
Total;43 años;2073;670.372,106377
Total;43 años;2072;665.306,343225
Total;43 años;2071;660.099,868462
Total;43 años;2070;654.782,574526
Total;43 años;2069;649.502,154583
Total;43 años;2068;644.563,651502
Total;43 años;2067;643.023,676909
Total;43 años;2066;645.438,7479
Total;43 años;2065;652.805,514369
Total;43 años;2064;653.868,186601
Total;43 años;2063;667.367,462081
Total;43 años;2062;678.522,633613
Total;43 años;2061;696.177,074088
Total;43 años;2060;711.180,734352
Total;43 años;2059;718.437,464781
Total;43 años;2058;723.506,193446
Total;43 años;2057;718.815,425161
Total;43 años;2056;740.914,87018
Total;43 años;2055;751.214,451343
Total;43 años;2054;760.304,566768
Total;43 años;2053;767.102,496811
Total;43 años;2052;787.128,62068
Total;43 años;2051;768.795,983834
Total;43 años;2050;764.136,705715
Total;43 años;2049;754.994,953683
Total;43 años;2048;751.079,49619
Total;43 años;2047;741.413,155495
Total;43 años;2046;722.819,532751
Total;43 años;2045;715.731,826164
Total;43 años;2044;712.602,993108
Total;43 años;2043;697.456,087835
Total;43 años;2042;681.434,73626
Total;43 años;2041;683.611,706142
Total;43 años;2040;674.197,903428
Total;43 años;2039;670.687,676506
Total;43 años;2038;670.894,655093
Total;43 años;2037;678.385,676731
Total;43 años;2036;685.109,949748
Total;43 años;2035;675.720,585546
Total;43 años;2034;674.482,307682
Total;43 años;2033;674.809,945161
Total;43 años;2032;675.686,220543
Total;43 años;2031;673.629,235086
Total;43 años;2030;676.681,025826
Total;43 años;2029;684.095,15226
Total;43 años;2028;694.433,550271
Total;43 años;2027;702.211,938413
Total;43 años;2026;724.488,666413
Total;43 años;2025;739.445,402155
Total;43 años;2024;761.040
Total;44 años;2074;675.478,738402
Total;44 años;2073;670.393,467372
Total;44 años;2072;665.161,373339
Total;44 años;2071;659.814,629724
Total;44 años;2070;654.501,480472
Total;44 años;2069;649.526,830735
Total;44 años;2068;647.953,054296
Total;44 años;2067;650.337,535599
Total;44 años;2066;657.590,806687
Total;44 años;2065;658.618,168312
Total;44 años;2064;672.040,260706
Total;44 años;2063;683.109,434162
Total;44 años;2062;700.656,667278
Total;44 años;2061;715.567,118422
Total;44 años;2060;722.764,66697
Total;44 años;2059;727.787,12166
Total;44 años;2058;723.095,563648
Total;44 años;2057;745.101,300085
Total;44 años;2056;755.342,963351
Total;44 años;2055;764.362,565788
Total;44 años;2054;771.097,052998
Total;44 años;2053;791.015,607639
Total;44 años;2052;772.684,791156
Total;44 años;2051;767.958,636391
Total;44 años;2050;758.731,371198
Total;44 años;2049;754.704,941341
Total;44 años;2048;744.980,824367
Total;44 años;2047;726.356,38953
Total;44 años;2046;719.182,927962
Total;44 años;2045;715.935,12545
Total;44 años;2044;700.757,503112
Total;44 años;2043;684.739,959054
Total;44 años;2042;686.849,151834
Total;44 años;2041;677.438,310248
Total;44 años;2040;673.906,664271
Total;44 años;2039;674.123,390859
Total;44 años;2038;681.666,727392
Total;44 años;2037;688.462,653208
Total;44 años;2036;679.272,792432
Total;44 años;2035;678.243,226303
Total;44 años;2034;678.902,217941
Total;44 años;2033;680.236,006733
Total;44 años;2032;678.821,855617
Total;44 años;2031;682.675,595937
Total;44 años;2030;690.993,003128
Total;44 años;2029;702.324,094046
Total;44 años;2028;711.139,552006
Total;44 años;2027;734.172,438096
Total;44 años;2026;749.735,634738
Total;44 años;2025;771.028,846186
Total;44 años;2024;779.032
Total;45 años;2074;675.070,251269
Total;45 años;2073;669.817,453391
Total;45 años;2072;664.443,029502
Total;45 años;2071;659.098,26022
Total;45 años;2070;654.088,979329
Total;45 años;2069;652.483,262751
Total;45 años;2068;654.839,23914
Total;45 años;2067;661.984,029485
Total;45 años;2066;662.978,397572
Total;45 años;2065;676.326,581509
Total;45 años;2064;687.314,226205
Total;45 años;2063;704.758,010418
Total;45 años;2062;719.578,494095
Total;45 años;2061;726.719,025497
Total;45 años;2060;731.696,972342
Total;45 años;2059;727.005,337868
Total;45 años;2058;748.920,587659
Total;45 años;2057;759.106,893434
Total;45 años;2056;768.059,150843
Total;45 años;2055;774.733,158485
Total;45 años;2054;794.548,158021
Total;45 años;2053;776.220,841788
Total;45 años;2052;771.431,491822
Total;45 años;2051;762.123,544935
Total;45 años;2050;757.991,816334
Total;45 años;2049;748.214,052333
Total;45 años;2048;729.562,905023
Total;45 años;2047;722.310,095197
Total;45 años;2046;718.951,460058
Total;45 años;2045;703.748,917897
Total;45 años;2044;687.739,989204
Total;45 años;2043;689.786,810418
Total;45 años;2042;680.379,872914
Total;45 años;2041;676.824,134994
Total;45 años;2040;677.039,206123
Total;45 años;2039;684.610,218649
Total;45 años;2038;691.438,069629
Total;45 años;2037;682.383,731376
Total;45 años;2036;681.476,531822
Total;45 años;2035;682.349,423964
Total;45 años;2034;683.992,384288
Total;45 años;2033;683.041,531681
Total;45 años;2032;687.496,996022
Total;45 años;2031;696.519,048577
Total;45 años;2030;708.673,170514
Total;45 años;2029;718.428,45751
Total;45 años;2028;742.276,795385
Total;45 años;2027;758.726,434779
Total;45 años;2026;780.406,714995
Total;45 años;2025;788.425,142884
Total;45 años;2024;810.484
Total;46 años;2074;674.062,450494
Total;46 años;2073;668.666,176582
Total;46 años;2072;663.291,704509
Total;46 años;2071;658.248,699794
Total;46 años;2070;656.612,012404
Total;46 años;2069;658.940,763449
Total;46 años;2068;665.981,434815
Total;46 años;2067;666.945,03855
Total;46 años;2066;680.222,431849
Total;46 años;2065;691.131,894748
Total;46 años;2064;708.476,913183
Total;46 años;2063;723.210,185032
Total;46 años;2062;730.295,315198
Total;46 años;2061;735.229,930569
Total;46 años;2060;730.538,287406
Total;46 años;2059;752.365,21851
Total;46 años;2058;762.497,760079
Total;46 años;2057;771.384,952423
Total;46 años;2056;778.000,679999
Total;46 años;2055;797.715,086747
Total;46 años;2054;779.392,898346
Total;46 años;2053;774.543,426201
Total;46 años;2052;765.159,060714
Total;46 años;2051;760.926,792703
Total;46 años;2050;751.098,692423
Total;46 años;2049;732.424,026358
Total;46 años;2048;725.096,822503
Total;46 años;2047;721.633,686379
Total;46 años;2046;706.410,811742
Total;46 años;2045;690.414,074628
Total;46 años;2044;692.404,188817
Total;46 años;2043;683.003,772247
Total;46 años;2042;679.425,083115
Total;46 años;2041;679.634,268157
Total;46 años;2040;687.219,795839
Total;46 años;2039;694.056,340709
Total;46 años;2038;685.096,811769
Total;46 años;2037;684.253,761502
Total;46 años;2036;685.256,186049
Total;46 años;2035;687.095,688002
Total;46 años;2034;686.463,616963
Total;46 años;2033;691.348,179352
Total;46 años;2032;700.886,643925
Total;46 años;2031;713.675,04104
Total;46 años;2030;724.207,141507
Total;46 años;2029;748.790,167951
Total;46 años;2028;766.164,471171
Total;46 años;2027;788.519,735792
Total;46 años;2026;797.175,754993
Total;46 años;2025;819.118,226551
Total;46 años;2024;819.103
Total;47 años;2074;672.478,38337
Total;47 años;2073;667.081,098563
Total;47 años;2072;662.006,549209
Total;47 años;2071;660.339,452289
Total;47 años;2070;662.641,44777
Total;47 años;2069;669.581,357601
Total;47 años;2068;670.516,056085
Total;47 años;2067;683.725,61867
Total;47 años;2066;694.560,212303
Total;47 años;2065;711.810,029436
Total;47 años;2064;726.460,426453
Total;47 años;2063;733.491,914172
Total;47 años;2062;738.384,390884
Total;47 años;2061;733.692,898669
Total;47 años;2060;755.433,194853
Total;47 años;2059;765.513,234047
Total;47 años;2058;774.337,189974
Total;47 años;2057;780.896,549994
Total;47 años;2056;800.512,950708
Total;47 años;2055;782.197,58977
Total;47 años;2054;777.291,171164
Total;47 años;2053;767.834,482787
Total;47 años;2052;763.506,248016
Total;47 años;2051;753.630,974272
Total;47 años;2050;734.935,859729
Total;47 años;2049;727.538,524482
Total;47 años;2048;723.976,243956
Total;47 años;2047;708.736,778092
Total;47 años;2046;692.755,228226
Total;47 años;2045;694.693,14589
Total;47 años;2044;685.303,045365
Total;47 años;2043;681.704,400804
Total;47 años;2042;681.907,674675
Total;47 años;2041;689.502,100493
Total;47 años;2040;696.335,700201
Total;47 años;2039;687.447,528796
Total;47 años;2038;686.632,545209
Total;47 años;2037;687.707,933229
Total;47 años;2036;689.663,851359
Total;47 años;2035;689.241,657566
Total;47 años;2034;694.417,155245
Total;47 años;2033;704.310,847119
Total;47 años;2032;717.555,946573
Total;47 años;2031;728.685,30903
Total;47 años;2030;753.858,954661
Total;47 años;2029;772.066,690956
Total;47 años;2028;795.150,025027
Total;47 años;2027;804.692,053543
Total;47 años;2026;827.124,567227
Total;47 años;2025;827.084,419391
Total;47 años;2024;831.192
Total;48 años;2074;670.466,538122
Total;48 años;2073;665.368,439889
Total;48 años;2072;663.673,143595
Total;48 años;2071;665.948,527568
Total;48 años;2070;672.789,959877
Total;48 años;2069;673.696,778361
Total;48 años;2068;686.840,811162
Total;48 años;2067;697.603,609756
Total;48 años;2066;714.761,624766
Total;48 años;2065;729.332,247257
Total;48 años;2064;736.313,781372
Total;48 años;2063;741.165,556531
Total;48 años;2062;736.474,658631
Total;48 años;2061;758.129,730043
Total;48 años;2060;768.158,212874
Total;48 años;2059;776.920,417366
Total;48 años;2058;783.424,917404
Total;48 años;2057;802.945,412225
Total;48 años;2056;784.638,719204
Total;48 años;2055;779.678,389076
Total;48 años;2054;770.153,577545
Total;48 años;2053;765.733,771756
Total;48 años;2052;755.814,652867
Total;48 años;2051;737.102,342432
Total;48 años;2050;729.638,939514
Total;48 años;2049;725.982,26019
Total;48 años;2048;710.729,541019
Total;48 años;2047;694.765,701542
Total;48 años;2046;696.655,216076
Total;48 años;2045;687.278,514321
Total;48 años;2044;683.664,299077
Total;48 años;2043;683.863,677294
Total;48 años;2042;691.465,730708
Total;48 años;2041;698.292,128717
Total;48 años;2040;689.463,743902
Total;48 años;2039;688.657,00398
Total;48 años;2038;689.770,581548
Total;48 años;2037;691.789,887141
Total;48 años;2036;691.500,716948
Total;48 años;2035;696.863,748872
Total;48 años;2034;706.984,723821
Total;48 años;2033;720.535,477481
Total;48 años;2032;732.094,388518
Total;48 años;2031;757.698,29614
Total;48 años;2030;776.591,147515
Total;48 años;2029;800.330,142426
Total;48 años;2028;810.788,351301
Total;48 años;2027;833.958,106347
Total;48 años;2026;834.472,996967
Total;48 años;2025;838.598,607618
Total;48 años;2024;823.062
Total;49 años;2074;668.330,569848
Total;49 años;2073;666.615,753008
Total;49 años;2072;668.866,489232
Total;49 años;2071;675.611,105383
Total;49 años;2070;676.490,022831
Total;49 años;2069;689.569,537073
Total;49 años;2068;700.262,712648
Total;49 años;2067;717.331,733827
Total;49 años;2066;731.825,412466
Total;49 años;2065;738.759,298199
Total;49 años;2064;743.573,785986
Total;49 años;2063;738.884,162682
Total;49 años;2062;760.454,989239
Total;49 años;2061;770.432,511046
Total;49 años;2060;779.133,791576
Total;49 años;2059;785.584,277007
Total;49 años;2058;805.009,976169
Total;49 años;2057;786.713,46274
Total;49 años;2056;781.701,683154
Total;49 años;2055;772.112,347381
Total;49 años;2054;767.604,887899
Total;49 años;2053;757.644,950148
Total;49 años;2052;738.918,659728
Total;49 años;2051;731.392,845411
Total;49 años;2050;727.645,775028
Total;49 años;2049;712.382,703687
Total;49 años;2048;696.438,559274
Total;49 años;2047;698.282,383614
Total;49 años;2046;688.921,431548
Total;49 años;2045;685.294,674893
Total;49 años;2044;685.493,254384
Total;49 años;2043;693.103,142408
Total;49 años;2042;699.921,57809
Total;49 años;2041;691.148,381704
Total;49 años;2040;690.340,454501
Total;49 años;2039;691.472,494979
Total;49 años;2038;693.522,272007
Total;49 años;2037;693.314,802387
Total;49 años;2036;698.791,781894
Total;49 años;2035;709.043,72998
Total;49 años;2034;722.779,427551
Total;49 años;2033;734.624,306481
Total;49 años;2032;760.506,291736
Total;49 años;2031;779.920,71041
Total;49 años;2030;804.184,562144
Total;49 años;2029;815.471,186617
Total;49 años;2028;839.413,425525
Total;49 años;2027;840.718,764573
Total;49 años;2026;845.410,698744
Total;49 años;2025;829.954,192921
Total;49 años;2024;815.324
Total;50 años;2074;669.164,905526
Total;50 años;2073;671.400,313952
Total;50 años;2072;678.051,848939
Total;50 años;2071;678.902,702511
Total;50 años;2070;691.917,585091
Total;50 años;2069;702.542,093735
Total;50 años;2068;719.524,026824
Total;50 años;2067;733.943,230335
Total;50 años;2066;740.831,840108
Total;50 años;2065;745.611,189425
Total;50 años;2064;740.926,237906
Total;50 años;2063;762.413,965784
Total;50 años;2062;772.341,248597
Total;50 años;2061;780.982,412717
Total;50 años;2060;787.379,459987
Total;50 años;2059;806.711,050532
Total;50 años;2058;788.425,984135
Total;50 años;2057;783.364,851908
Total;50 años;2056;773.714,247935
Total;50 años;2055;769.122,611581
Total;50 años;2054;759.124,92127
Total;50 años;2053;740.387,888288
Total;50 años;2052;732.803,299979
Total;50 años;2051;728.969,603678
Total;50 años;2050;713.699,094458
Total;50 años;2049;697.776,472743
Total;50 años;2048;699.576,781494
Total;50 años;2047;690.233,40679
Total;50 años;2046;686.596,47631
Total;50 años;2045;686.796,172917
Total;50 años;2044;694.415,538389
Total;50 años;2043;701.226,891468
Total;50 años;2042;692.508,139754
Total;50 años;2041;691.696,046367
Total;50 años;2040;692.837,021263
Total;50 años;2039;694.898,881372
Total;50 años;2038;694.741,46761
Total;50 años;2037;700.283,348746
Total;50 años;2036;710.598,121168
Total;50 años;2035;724.428,293953
Total;50 años;2034;736.444,839496
Total;50 años;2033;762.474,572675
Total;50 años;2032;782.256,914473
Total;50 años;2031;806.898,810973
Total;50 años;2030;818.873,179124
Total;50 años;2029;843.508,955389
Total;50 años;2028;845.637,370435
Total;50 años;2027;851.116,336957
Total;50 años;2026;836.266,763076
Total;50 años;2025;821.686,586168
Total;50 años;2024;793.213
Total;51 años;2074;673.544,824834
Total;51 años;2073;680.114,510858
Total;51 años;2072;680.939,532115
Total;51 años;2071;693.889,150602
Total;51 años;2070;704.444,4455
Total;51 años;2069;721.339,441316
Total;51 años;2068;735.685,30386
Total;51 años;2067;742.530,280823
Total;51 años;2066;747.276,291791
Total;51 años;2065;742.597,687195
Total;51 años;2064;764.005,606772
Total;51 años;2063;773.883,174929
Total;51 años;2062;782.464,598142
Total;51 años;2061;788.808,241468
Total;51 años;2060;808.045,3738
Total;51 años;2059;789.772,420138
Total;51 años;2058;784.663,013275
Total;51 años;2057;774.953,417753
Total;51 años;2056;770.280,021167
Total;51 años;2055;760.246,775592
Total;51 años;2054;741.501,870721
Total;51 años;2053;733.861,401785
Total;51 años;2052;729.944,070449
Total;51 años;2051;714.668,635706
Total;51 años;2050;698.769,021575
Total;51 años;2049;700.526,911756
Total;51 años;2048;691.202,041324
Total;51 años;2047;687.556,037006
Total;51 años;2046;687.757,409491
Total;51 años;2045;695.385,666618
Total;51 años;2044;702.191,166883
Total;51 años;2043;693.526,97492
Total;51 años;2042;692.710,026678
Total;51 años;2041;693.855,339972
Total;51 años;2040;695.919,271534
Total;51 años;2039;695.793,027818
Total;51 años;2038;701.367,962787
Total;51 años;2037;711.698,677138
Total;51 años;2036;725.557,549152
Total;51 años;2035;737.658,38705
Total;51 años;2034;763.729,5971
Total;51 años;2033;783.746,108898
Total;51 años;2032;808.624,437037
Total;51 años;2031;821.130,257584
Total;51 años;2030;846.325,780825
Total;51 años;2029;849.198,253124
Total;51 años;2028;855.489,012337
Total;51 años;2027;841.457,855814
Total;51 años;2026;827.435,743904
Total;51 años;2025;799.196,416881
Total;51 años;2024;788.270
Total;52 años;2074;681.794,091744
Total;52 años;2073;682.604,606658
Total;52 años;2072;695.491,324734
Total;52 años;2071;705.976,87954
Total;52 años;2070;722.783,971354
Total;52 años;2069;737.056,320509
Total;52 años;2068;743.858,460609
Total;52 años;2067;748.572,672384
Total;52 años;2066;743.902,324025
Total;52 años;2065;765.231,98323
Total;52 años;2064;775.063,734405
Total;52 años;2063;783.586,286949
Total;52 años;2062;789.876,900468
Total;52 años;2061;809.019,421062
Total;52 años;2060;790.759,200238
Total;52 años;2059;785.602,410238
Total;52 años;2058;775.835,705056
Total;52 años;2057;771.082,576563
Total;52 años;2056;761.015,692436
Total;52 años;2055;742.265,543537
Total;52 años;2054;734.572,09147
Total;52 años;2053;730.573,971403
Total;52 años;2052;715.296,297318
Total;52 años;2051;699.421,35356
Total;52 años;2050;701.137,997422
Total;52 años;2049;691.832,494951
Total;52 años;2048;688.178,215424
Total;52 años;2047;688.381,385695
Total;52 años;2046;696.017,518721
Total;52 años;2045;702.817,109427
Total;52 años;2044;694.209,343697
Total;52 años;2043;693.388,306987
Total;52 años;2042;694.536,633089
Total;52 años;2041;696.598,443126
Total;52 años;2040;696.493,773103
Total;52 años;2039;702.083,266748
Total;52 años;2038;712.400,616343
Total;52 años;2037;726.244,206745
Total;52 años;2036;738.367,470292
Total;52 años;2035;764.400,514121
Total;52 años;2034;784.544,297137
Total;52 años;2033;809.537,75343
Total;52 años;2032;822.428,31518
Total;52 años;2031;848.036,150007
Total;52 años;2030;851.523,516303
Total;52 años;2029;858.545,641606
Total;52 años;2028;845.357,519867
Total;52 años;2027;832.098,527036
Total;52 años;2026;804.564,696703
Total;52 años;2025;793.593,915616
Total;52 años;2024;773.353
Total;53 años;2074;683.887,854359
Total;53 años;2073;696.723,895396
Total;53 años;2072;707.142,753043
Total;53 años;2071;723.861,324908
Total;53 años;2070;738.059,114004
Total;53 años;2069;744.818,12946
Total;53 años;2068;749.501,46811
Total;53 años;2067;744.841,333
Total;53 años;2066;766.094,728876
Total;53 años;2065;775.882,940913
Total;53 años;2064;784.351,688852
Total;53 años;2063;790.590,813585
Total;53 años;2062;809.639,663765
Total;53 años;2061;791.393,634755
Total;53 años;2060;786.190,952224
Total;53 años;2059;776.369,474686
Total;53 años;2058;771.538,970084
Total;53 años;2057;761.440,719641
Total;53 años;2056;742.688,308813
Total;53 años;2055;734.945,231089
Total;53 años;2054;730.869,974808
Total;53 años;2053;715.593,448504
Total;53 años;2052;699.745,809356
Total;53 años;2051;701.423,558548
Total;53 años;2050;692.139,349799
Total;53 años;2049;688.478,605481
Total;53 años;2048;688.684,68947
Total;53 años;2047;696.328,78531
Total;53 años;2046;703.123,496679
Total;53 años;2045;694.573,780579
Total;53 años;2044;693.752,609441
Total;53 años;2043;694.905,609996
Total;53 años;2042;696.965,944218
Total;53 años;2041;696.880,626678
Total;53 años;2040;702.477,121051
Total;53 años;2039;712.766,823455
Total;53 años;2038;726.570,633891
Total;53 años;2037;738.678,291873
Total;53 años;2036;764.621,088934
Total;53 años;2035;784.815,858025
Total;53 años;2034;809.832,60161
Total;53 años;2033;822.986,635568
Total;53 años;2032;848.873,505778
Total;53 años;2031;852.837,953707
Total;53 años;2030;860.467,897292
Total;53 años;2029;848.049,119795
